"species","loc","year","lat","long","family","genus","n.ind","n.pos","total.ind","total.loc"
"Adelotus brevis","150.95,-24.394",1999,-24.394,150.95,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","151.034,-24.413",2005,-24.413,151.034,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","151.038,-24.441",1999,-24.441,151.038,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","151.498,-24.52",1998,-24.52,151.498,"Limnodynastidae","Adelotus",3,0,56,21
"Adelotus brevis","151.499,-24.578",1998,-24.578,151.499,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","152.383,-27.633",1995,-27.633,152.383,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","152.383,-27.633",1998,-27.633,152.383,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","152.607,-26.68",2006,-26.68,152.607,"Limnodynastidae","Adelotus",23,16,56,21
"Adelotus brevis","152.675,-26.572",1999,-26.572,152.675,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","152.698,-27.06",2010,-27.06,152.698,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","152.721,-27.156",1999,-27.156,152.721,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","152.807,-26.513",1998,-26.513,152.807,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","152.95,-27.083",1998,-27.083,152.95,"Limnodynastidae","Adelotus",5,0,56,21
"Adelotus brevis","152.983,-27.444",1998,-27.444,152.983,"Limnodynastidae","Adelotus",1,0,56,21
"Adelotus brevis","152.983,-27.45",1998,-27.45,152.983,"Limnodynastidae","Adelotus",7,7,56,21
"Adelotus brevis","153.028,-27.468",1995,-27.468,153.028,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","153.028,-27.468",1998,-27.468,153.028,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","153.043,-26.694",1999,-26.694,153.043,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","153.05,-27.483",1998,-27.483,153.05,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","153.113,-28.216",1999,-28.216,153.113,"Limnodynastidae","Adelotus",1,1,56,21
"Adelotus brevis","153.268,-28.284",2004,-28.284,153.268,"Limnodynastidae","Adelotus",2,1,56,21
"Anstisia alba","115.083,-34.117",1992,-34.117,115.083,"Myobatrachidae","Anstisia",9,0,134,12
"Anstisia alba","115.083,-34.117",1993,-34.117,115.083,"Myobatrachidae","Anstisia",8,0,134,12
"Anstisia alba","115.083,-34.117",1994,-34.117,115.083,"Myobatrachidae","Anstisia",15,0,134,12
"Anstisia alba","115.133,-34.033",1992,-34.033,115.133,"Myobatrachidae","Anstisia",14,0,134,12
"Anstisia alba","115.133,-34.117",1992,-34.117,115.133,"Myobatrachidae","Anstisia",33,0,134,12
"Anstisia alba","115.133,-34.117",1993,-34.117,115.133,"Myobatrachidae","Anstisia",8,0,134,12
"Anstisia alba","115.133,-34.117",2009,-34.117,115.133,"Myobatrachidae","Anstisia",1,0,134,12
"Anstisia alba","115.133,-34.133",1992,-34.133,115.133,"Myobatrachidae","Anstisia",1,0,134,12
"Anstisia alba","115.15,-34.1",1992,-34.1,115.15,"Myobatrachidae","Anstisia",6,0,134,12
"Anstisia alba","115.15,-34.117",1992,-34.117,115.15,"Myobatrachidae","Anstisia",1,0,134,12
"Anstisia alba","115.15,-34.117",1993,-34.117,115.15,"Myobatrachidae","Anstisia",21,0,134,12
"Anstisia alba","115.183,-34.133",1992,-34.133,115.183,"Myobatrachidae","Anstisia",17,0,134,12
"Cophixalus ornatus","145.273,-16.509",2004,-16.509,145.273,"Microhylidae","Cophixalus",1,0,385,16
"Cophixalus ornatus","145.289,-16.59",2004,-16.59,145.289,"Microhylidae","Cophixalus",2,0,385,16
"Cophixalus ornatus","145.52,-17.681",2004,-17.681,145.52,"Microhylidae","Cophixalus",57,0,385,16
"Cophixalus ornatus","145.695,-17.346",2001,-17.346,145.695,"Microhylidae","Cophixalus",1,0,385,16
"Cophixalus ornatus","145.822,-17.406",2001,-17.406,145.822,"Microhylidae","Cophixalus",4,0,385,16
"Cophixalus ornatus","145.835,-17.416",2001,-17.416,145.835,"Microhylidae","Cophixalus",4,0,385,16
"Cophixalus ornatus","145.855,-17.264",2004,-17.264,145.855,"Microhylidae","Cophixalus",2,0,385,16
"Cophixalus ornatus","145.855,-17.435",2001,-17.435,145.855,"Microhylidae","Cophixalus",4,0,385,16
"Cophixalus ornatus","145.867,-17.335",2005,-17.335,145.867,"Microhylidae","Cophixalus",1,1,385,16
"Cophixalus ornatus","145.869,-17.342",2005,-17.342,145.869,"Microhylidae","Cophixalus",1,1,385,16
"Cophixalus ornatus","146.165,-18.981",1998,-18.981,146.165,"Microhylidae","Cophixalus",35,0,385,16
"Cophixalus ornatus","146.165,-18.981",1999,-18.981,146.165,"Microhylidae","Cophixalus",1,0,385,16
"Cophixalus ornatus","146.207,-19.007",1995,-19.007,146.207,"Microhylidae","Cophixalus",201,0,385,16
"Cophixalus ornatus","146.207,-19.007",1998,-19.007,146.207,"Microhylidae","Cophixalus",47,0,385,16
"Cophixalus ornatus","146.207,-19.007",2004,-19.007,146.207,"Microhylidae","Cophixalus",23,0,385,16
"Cophixalus ornatus","146.601,-17.093",2001,-17.093,146.601,"Microhylidae","Cophixalus",1,0,385,16
"Crinia georgiana","115.017,-33.65",1999,-33.65,115.017,"Myobatrachidae","Crinia",8,2,792,66
"Crinia georgiana","115.017,-33.667",1999,-33.667,115.017,"Myobatrachidae","Crinia",1,1,792,66
"Crinia georgiana","115.017,-33.85",1999,-33.85,115.017,"Myobatrachidae","Crinia",10,0,792,66
"Crinia georgiana","115.017,-33.933",1999,-33.933,115.017,"Myobatrachidae","Crinia",5,1,792,66
"Crinia georgiana","115.017,-34.017",1999,-34.017,115.017,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","115.033,-33.567",1999,-33.567,115.033,"Myobatrachidae","Crinia",2,1,792,66
"Crinia georgiana","115.096,-33.609",2008,-33.609,115.096,"Myobatrachidae","Crinia",40,37,792,66
"Crinia georgiana","115.1,-33.6",1999,-33.6,115.1,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","115.1,-34.033",1999,-34.033,115.1,"Myobatrachidae","Crinia",3,0,792,66
"Crinia georgiana","115.103,-33.85",1999,-33.85,115.103,"Myobatrachidae","Crinia",1,1,792,66
"Crinia georgiana","115.133,-33.967",1999,-33.967,115.133,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","115.133,-34.15",1999,-34.15,115.133,"Myobatrachidae","Crinia",11,0,792,66
"Crinia georgiana","115.15,-33.967",1999,-33.967,115.15,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","115.15,-34.303",2008,-34.303,115.15,"Myobatrachidae","Crinia",40,40,792,66
"Crinia georgiana","115.2,-34.067",1999,-34.067,115.2,"Myobatrachidae","Crinia",11,0,792,66
"Crinia georgiana","115.2,-34.15",1999,-34.15,115.2,"Myobatrachidae","Crinia",9,0,792,66
"Crinia georgiana","115.633,-23.683",1997,-23.683,115.633,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","115.75,-33.983",1999,-33.983,115.75,"Myobatrachidae","Crinia",7,2,792,66
"Crinia georgiana","115.75,-34.083",1999,-34.083,115.75,"Myobatrachidae","Crinia",9,3,792,66
"Crinia georgiana","115.75,-34.117",1999,-34.117,115.75,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","115.75,-34.15",1999,-34.15,115.75,"Myobatrachidae","Crinia",3,1,792,66
"Crinia georgiana","115.75,-34.3",1999,-34.3,115.75,"Myobatrachidae","Crinia",12,1,792,66
"Crinia georgiana","115.757,-33.531",2008,-33.531,115.757,"Myobatrachidae","Crinia",41,26,792,66
"Crinia georgiana","115.812,-34.034",2008,-34.034,115.812,"Myobatrachidae","Crinia",40,37,792,66
"Crinia georgiana","115.9,-32.017",1992,-32.017,115.9,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","115.941,-33.068",2008,-33.068,115.941,"Myobatrachidae","Crinia",36,34,792,66
"Crinia georgiana","115.948,-31.863",2008,-31.863,115.948,"Myobatrachidae","Crinia",42,17,792,66
"Crinia georgiana","116,-32.217",1996,-32.217,116,"Myobatrachidae","Crinia",3,1,792,66
"Crinia georgiana","116,-32.233",1996,-32.233,116,"Myobatrachidae","Crinia",7,0,792,66
"Crinia georgiana","116.017,-32.05",1993,-32.05,116.017,"Myobatrachidae","Crinia",1,1,792,66
"Crinia georgiana","116.017,-32.05",1996,-32.05,116.017,"Myobatrachidae","Crinia",8,1,792,66
"Crinia georgiana","116.017,-34",1999,-34,116.017,"Myobatrachidae","Crinia",3,0,792,66
"Crinia georgiana","116.033,-31.867",1993,-31.867,116.033,"Myobatrachidae","Crinia",12,0,792,66
"Crinia georgiana","116.033,-34.45",1999,-34.45,116.033,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","116.037,-33.456",2008,-33.456,116.037,"Myobatrachidae","Crinia",43,24,792,66
"Crinia georgiana","116.052,-34.431",2008,-34.431,116.052,"Myobatrachidae","Crinia",40,39,792,66
"Crinia georgiana","116.086,-32.754",2008,-32.754,116.086,"Myobatrachidae","Crinia",37,31,792,66
"Crinia georgiana","116.117,-34.633",1999,-34.633,116.117,"Myobatrachidae","Crinia",7,0,792,66
"Crinia georgiana","116.133,-32.15",1992,-32.15,116.133,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","116.15,-32.117",1992,-32.117,116.15,"Myobatrachidae","Crinia",6,0,792,66
"Crinia georgiana","116.154,-32.112",2008,-32.112,116.154,"Myobatrachidae","Crinia",40,30,792,66
"Crinia georgiana","116.167,-31.967",1998,-31.967,116.167,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","116.167,-31.983",1992,-31.983,116.167,"Myobatrachidae","Crinia",11,5,792,66
"Crinia georgiana","116.283,-33.917",1999,-33.917,116.283,"Myobatrachidae","Crinia",4,1,792,66
"Crinia georgiana","116.3,-32.417",1991,-32.417,116.3,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","116.333,-34.083",1997,-34.083,116.333,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","116.367,-34.767",2009,-34.767,116.367,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","116.417,-34.533",1999,-34.533,116.417,"Myobatrachidae","Crinia",5,1,792,66
"Crinia georgiana","116.467,-34.767",1999,-34.767,116.467,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","116.5,-34.633",1999,-34.633,116.5,"Myobatrachidae","Crinia",3,0,792,66
"Crinia georgiana","116.719,-32.4",1992,-32.4,116.719,"Myobatrachidae","Crinia",1,1,792,66
"Crinia georgiana","117.018,-34.511",2008,-34.511,117.018,"Myobatrachidae","Crinia",36,30,792,66
"Crinia georgiana","117.018,-34.954",2008,-34.954,117.018,"Myobatrachidae","Crinia",37,29,792,66
"Crinia georgiana","117.3,-34.833",1996,-34.833,117.3,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","117.633,-34.733",1999,-34.733,117.633,"Myobatrachidae","Crinia",9,4,792,66
"Crinia georgiana","117.696,-34.663",2008,-34.663,117.696,"Myobatrachidae","Crinia",36,30,792,66
"Crinia georgiana","117.719,-35.01",1999,-35.01,117.719,"Myobatrachidae","Crinia",1,1,792,66
"Crinia georgiana","117.833,-34.017",1993,-34.017,117.833,"Myobatrachidae","Crinia",4,0,792,66
"Crinia georgiana","117.833,-34.017",1996,-34.017,117.833,"Myobatrachidae","Crinia",10,0,792,66
"Crinia georgiana","117.842,-34.968",2008,-34.968,117.842,"Myobatrachidae","Crinia",36,36,792,66
"Crinia georgiana","117.9,-34.7",1996,-34.7,117.9,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","118.05,-34.383",1993,-34.383,118.05,"Myobatrachidae","Crinia",3,0,792,66
"Crinia georgiana","118.25,-34.367",1996,-34.367,118.25,"Myobatrachidae","Crinia",2,0,792,66
"Crinia georgiana","118.333,-34.367",1996,-34.367,118.333,"Myobatrachidae","Crinia",3,0,792,66
"Crinia georgiana","119.717,-34.033",2009,-34.033,119.717,"Myobatrachidae","Crinia",1,0,792,66
"Crinia georgiana","122.209,-33.917",2008,-33.917,122.209,"Myobatrachidae","Crinia",30,21,792,66
"Crinia glauerti","115.017,-33.85",1999,-33.85,115.017,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.033,-33.833",1999,-33.833,115.033,"Myobatrachidae","Crinia",4,0,137,28
"Crinia glauerti","115.083,-34.017",1999,-34.017,115.083,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.117,-33.983",1992,-33.983,115.117,"Myobatrachidae","Crinia",1,1,137,28
"Crinia glauerti","115.117,-34.283",1999,-34.283,115.117,"Myobatrachidae","Crinia",5,0,137,28
"Crinia glauerti","115.133,-34.033",1999,-34.033,115.133,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.133,-34.15",1999,-34.15,115.133,"Myobatrachidae","Crinia",3,1,137,28
"Crinia glauerti","115.183,-33.967",1999,-33.967,115.183,"Myobatrachidae","Crinia",2,0,137,28
"Crinia glauerti","115.2,-33.967",1999,-33.967,115.2,"Myobatrachidae","Crinia",5,0,137,28
"Crinia glauerti","115.217,-33.967",1999,-33.967,115.217,"Myobatrachidae","Crinia",13,2,137,28
"Crinia glauerti","115.633,-33.383",1999,-33.383,115.633,"Myobatrachidae","Crinia",2,0,137,28
"Crinia glauerti","115.65,-33.35",1999,-33.35,115.65,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.75,-32.433",1992,-32.433,115.75,"Myobatrachidae","Crinia",1,1,137,28
"Crinia glauerti","115.75,-33.983",1999,-33.983,115.75,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.75,-34.117",1999,-34.117,115.75,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","115.75,-34.233",1999,-34.233,115.75,"Myobatrachidae","Crinia",14,3,137,28
"Crinia glauerti","116,-32.083",1993,-32.083,116,"Myobatrachidae","Crinia",2,0,137,28
"Crinia glauerti","116.017,-32.3",1992,-32.3,116.017,"Myobatrachidae","Crinia",5,0,137,28
"Crinia glauerti","116.017,-34",1999,-34,116.017,"Myobatrachidae","Crinia",6,1,137,28
"Crinia glauerti","116.05,-33.85",1999,-33.85,116.05,"Myobatrachidae","Crinia",5,4,137,28
"Crinia glauerti","116.058,-31.974",1999,-31.974,116.058,"Myobatrachidae","Crinia",1,1,137,28
"Crinia glauerti","116.067,-31.917",1993,-31.917,116.067,"Myobatrachidae","Crinia",24,0,137,28
"Crinia glauerti","116.167,-31.983",1992,-31.983,116.167,"Myobatrachidae","Crinia",15,4,137,28
"Crinia glauerti","116.183,-31.983",1992,-31.983,116.183,"Myobatrachidae","Crinia",4,2,137,28
"Crinia glauerti","116.2,-31.9",1999,-31.9,116.2,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","116.283,-33.917",1999,-33.917,116.283,"Myobatrachidae","Crinia",8,0,137,28
"Crinia glauerti","116.333,-34.083",1997,-34.083,116.333,"Myobatrachidae","Crinia",1,0,137,28
"Crinia glauerti","117.017,-34.7",1999,-34.7,117.017,"Myobatrachidae","Crinia",9,3,137,28
"Crinia insignifera","115.617,-32.65",1999,-32.65,115.617,"Myobatrachidae","Crinia",5,0,134,22
"Crinia insignifera","115.65,-32.833",1992,-32.833,115.65,"Myobatrachidae","Crinia",4,0,134,22
"Crinia insignifera","115.717,-32.5",1992,-32.5,115.717,"Myobatrachidae","Crinia",8,4,134,22
"Crinia insignifera","115.75,-32.433",1992,-32.433,115.75,"Myobatrachidae","Crinia",1,1,134,22
"Crinia insignifera","115.783,-31.85",1992,-31.85,115.783,"Myobatrachidae","Crinia",2,0,134,22
"Crinia insignifera","115.783,-31.933",1992,-31.933,115.783,"Myobatrachidae","Crinia",8,3,134,22
"Crinia insignifera","115.783,-31.933",1993,-31.933,115.783,"Myobatrachidae","Crinia",5,4,134,22
"Crinia insignifera","115.783,-31.933",1999,-31.933,115.783,"Myobatrachidae","Crinia",15,7,134,22
"Crinia insignifera","115.784,-31.944",1992,-31.944,115.784,"Myobatrachidae","Crinia",1,1,134,22
"Crinia insignifera","115.784,-31.944",1999,-31.944,115.784,"Myobatrachidae","Crinia",1,1,134,22
"Crinia insignifera","115.9,-32.017",1992,-32.017,115.9,"Myobatrachidae","Crinia",8,0,134,22
"Crinia insignifera","115.917,-32.05",1999,-32.05,115.917,"Myobatrachidae","Crinia",11,4,134,22
"Crinia insignifera","115.967,-31.917",1989,-31.917,115.967,"Myobatrachidae","Crinia",2,1,134,22
"Crinia insignifera","115.967,-31.967",1993,-31.967,115.967,"Myobatrachidae","Crinia",9,0,134,22
"Crinia insignifera","115.983,-32",1996,-32,115.983,"Myobatrachidae","Crinia",3,0,134,22
"Crinia insignifera","116,-32.233",1996,-32.233,116,"Myobatrachidae","Crinia",8,0,134,22
"Crinia insignifera","116,-32.25",1993,-32.25,116,"Myobatrachidae","Crinia",13,0,134,22
"Crinia insignifera","116,-32.25",1996,-32.25,116,"Myobatrachidae","Crinia",18,2,134,22
"Crinia insignifera","116.017,-31.917",1996,-31.917,116.017,"Myobatrachidae","Crinia",2,0,134,22
"Crinia insignifera","116.033,-31.85",1992,-31.85,116.033,"Myobatrachidae","Crinia",2,1,134,22
"Crinia insignifera","116.033,-31.85",1993,-31.85,116.033,"Myobatrachidae","Crinia",4,0,134,22
"Crinia insignifera","116.233,-32.017",1992,-32.017,116.233,"Myobatrachidae","Crinia",4,0,134,22
"Crinia pseudinsignifera","115.033,-33.717",1999,-33.717,115.033,"Myobatrachidae","Crinia",1,0,64,13
"Crinia pseudinsignifera","115.033,-33.833",1999,-33.833,115.033,"Myobatrachidae","Crinia",11,0,64,13
"Crinia pseudinsignifera","115.15,-34.317",1999,-34.317,115.15,"Myobatrachidae","Crinia",12,0,64,13
"Crinia pseudinsignifera","115.2,-33.967",1999,-33.967,115.2,"Myobatrachidae","Crinia",5,0,64,13
"Crinia pseudinsignifera","115.217,-33.967",1999,-33.967,115.217,"Myobatrachidae","Crinia",2,0,64,13
"Crinia pseudinsignifera","116.2,-31.9",1998,-31.9,116.2,"Myobatrachidae","Crinia",1,1,64,13
"Crinia pseudinsignifera","116.2,-31.9",1999,-31.9,116.2,"Myobatrachidae","Crinia",7,0,64,13
"Crinia pseudinsignifera","116.233,-33.7",1999,-33.7,116.233,"Myobatrachidae","Crinia",7,4,64,13
"Crinia pseudinsignifera","116.246,-31.946",1998,-31.946,116.246,"Myobatrachidae","Crinia",1,1,64,13
"Crinia pseudinsignifera","116.283,-33.917",1999,-33.917,116.283,"Myobatrachidae","Crinia",5,2,64,13
"Crinia pseudinsignifera","116.333,-33.9",1999,-33.9,116.333,"Myobatrachidae","Crinia",5,2,64,13
"Crinia pseudinsignifera","117.017,-34.7",1999,-34.7,117.017,"Myobatrachidae","Crinia",4,1,64,13
"Crinia pseudinsignifera","117.633,-34.733",1999,-34.733,117.633,"Myobatrachidae","Crinia",3,0,64,13
"Crinia signifera","140.698,-37.116",1996,-37.116,140.698,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","145.417,-37.451",2010,-37.451,145.417,"Myobatrachidae","Crinia",3,1,970,50
"Crinia signifera","145.708,-37.353",2010,-37.353,145.708,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","145.875,-37.478",2010,-37.478,145.875,"Myobatrachidae","Crinia",19,15,970,50
"Crinia signifera","145.875,-37.481",2010,-37.481,145.875,"Myobatrachidae","Crinia",20,19,970,50
"Crinia signifera","145.879,-37.483",2010,-37.483,145.879,"Myobatrachidae","Crinia",4,4,970,50
"Crinia signifera","145.88,-37.488",2010,-37.488,145.88,"Myobatrachidae","Crinia",70,24,970,50
"Crinia signifera","145.881,-37.487",2010,-37.487,145.881,"Myobatrachidae","Crinia",10,9,970,50
"Crinia signifera","145.881,-37.488",2010,-37.488,145.881,"Myobatrachidae","Crinia",5,5,970,50
"Crinia signifera","145.89,-37.484",2010,-37.484,145.89,"Myobatrachidae","Crinia",27,25,970,50
"Crinia signifera","145.922,-37.437",2010,-37.437,145.922,"Myobatrachidae","Crinia",2,0,970,50
"Crinia signifera","145.933,-42.454",2005,-42.454,145.933,"Myobatrachidae","Crinia",1,1,970,50
"Crinia signifera","146.265,-37.841",2006,-37.841,146.265,"Myobatrachidae","Crinia",7,1,970,50
"Crinia signifera","146.269,-37.843",2006,-37.843,146.269,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","146.275,-37.839",2006,-37.839,146.275,"Myobatrachidae","Crinia",2,2,970,50
"Crinia signifera","146.277,-37.843",2006,-37.843,146.277,"Myobatrachidae","Crinia",3,0,970,50
"Crinia signifera","146.279,-37.835",2006,-37.835,146.279,"Myobatrachidae","Crinia",4,1,970,50
"Crinia signifera","146.299,-37.84",2006,-37.84,146.299,"Myobatrachidae","Crinia",5,2,970,50
"Crinia signifera","146.307,-37.833",2006,-37.833,146.307,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","147.063,-38.109",1998,-38.109,147.063,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","147.063,-38.109",1999,-38.109,147.063,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","147.167,-37.11",2008,-37.11,147.167,"Myobatrachidae","Crinia",4,0,970,50
"Crinia signifera","147.303,-36.903",2006,-36.903,147.303,"Myobatrachidae","Crinia",6,5,970,50
"Crinia signifera","147.31,-36.886",2007,-36.886,147.31,"Myobatrachidae","Crinia",1,0,970,50
"Crinia signifera","148.13,-36.654",2008,-36.654,148.13,"Myobatrachidae","Crinia",12,8,970,50
"Crinia signifera","148.261,-36.316",2006,-36.316,148.261,"Myobatrachidae","Crinia",14,0,970,50
"Crinia signifera","148.261,-36.316",2007,-36.316,148.261,"Myobatrachidae","Crinia",11,0,970,50
"Crinia signifera","148.261,-36.316",2008,-36.316,148.261,"Myobatrachidae","Crinia",12,0,970,50
"Crinia signifera","148.32,-36.037",2006,-36.037,148.32,"Myobatrachidae","Crinia",6,4,970,50
"Crinia signifera","148.328,-36.016",2013,-36.016,148.328,"Myobatrachidae","Crinia",53,53,970,50
"Crinia signifera","148.395,-35.452",2012,-35.452,148.395,"Myobatrachidae","Crinia",20,10,970,50
"Crinia signifera","148.399,-35.96",2013,-35.96,148.399,"Myobatrachidae","Crinia",21,21,970,50
"Crinia signifera","148.401,-35.958",2013,-35.958,148.401,"Myobatrachidae","Crinia",6,6,970,50
"Crinia signifera","148.403,-35.513",2012,-35.513,148.403,"Myobatrachidae","Crinia",20,17,970,50
"Crinia signifera","148.429,-36.394",2006,-36.394,148.429,"Myobatrachidae","Crinia",20,19,970,50
"Crinia signifera","148.443,-35.547",2012,-35.547,148.443,"Myobatrachidae","Crinia",21,13,970,50
"Crinia signifera","148.452,-36.372",2013,-36.372,148.452,"Myobatrachidae","Crinia",83,82,970,50
"Crinia signifera","148.484,-36.359",2013,-36.359,148.484,"Myobatrachidae","Crinia",27,26,970,50
"Crinia signifera","148.498,-35.867",2006,-35.867,148.498,"Myobatrachidae","Crinia",20,16,970,50
"Crinia signifera","148.498,-35.867",2008,-35.867,148.498,"Myobatrachidae","Crinia",9,9,970,50
"Crinia signifera","148.5,-36.359",2013,-36.359,148.5,"Myobatrachidae","Crinia",41,41,970,50
"Crinia signifera","148.533,-35.3",2012,-35.3,148.533,"Myobatrachidae","Crinia",50,50,970,50
"Crinia signifera","148.632,-35.576",2012,-35.576,148.632,"Myobatrachidae","Crinia",20,17,970,50
"Crinia signifera","148.641,-35.471",2012,-35.471,148.641,"Myobatrachidae","Crinia",204,162,970,50
"Crinia signifera","148.662,-35.452",2012,-35.452,148.662,"Myobatrachidae","Crinia",20,16,970,50
"Crinia signifera","148.773,-35.575",2012,-35.575,148.773,"Myobatrachidae","Crinia",30,17,970,50
"Crinia signifera","148.783,-35.52",2006,-35.52,148.783,"Myobatrachidae","Crinia",19,13,970,50
"Crinia signifera","148.829,-35.272",2012,-35.272,148.829,"Myobatrachidae","Crinia",23,22,970,50
"Crinia signifera","151.698,-32.845",2006,-32.845,151.698,"Myobatrachidae","Crinia",6,2,970,50
"Crinia signifera","151.726,-32.869",2006,-32.869,151.726,"Myobatrachidae","Crinia",3,0,970,50
"Cyclorana alboguttata","141.026,-17.772",2005,-17.772,141.026,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","141.029,-17.761",2005,-17.761,141.029,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","147.542,-30.681",2009,-30.681,147.542,"Pelodryadidae","Cyclorana",10,0,86,15
"Cyclorana alboguttata","147.938,-19.952",2002,-19.952,147.938,"Pelodryadidae","Cyclorana",2,0,86,15
"Cyclorana alboguttata","148.104,-19.951",2002,-19.951,148.104,"Pelodryadidae","Cyclorana",3,0,86,15
"Cyclorana alboguttata","148.105,-19.95",2005,-19.95,148.105,"Pelodryadidae","Cyclorana",7,0,86,15
"Cyclorana alboguttata","148.141,-20.093",2002,-20.093,148.141,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","148.188,-20.039",2002,-20.039,148.188,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","148.217,-20.023",2002,-20.023,148.217,"Pelodryadidae","Cyclorana",2,0,86,15
"Cyclorana alboguttata","148.491,-20.108",2002,-20.108,148.491,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","150.572,-28.574",2005,-28.574,150.572,"Pelodryadidae","Cyclorana",50,0,86,15
"Cyclorana alboguttata","151.109,-27.376",2007,-27.376,151.109,"Pelodryadidae","Cyclorana",3,0,86,15
"Cyclorana alboguttata","151.11,-27.375",2007,-27.375,151.11,"Pelodryadidae","Cyclorana",2,0,86,15
"Cyclorana alboguttata","151.111,-27.366",2007,-27.366,151.111,"Pelodryadidae","Cyclorana",1,0,86,15
"Cyclorana alboguttata","152.356,-27.524",1999,-27.524,152.356,"Pelodryadidae","Cyclorana",1,0,86,15
"Heleioporus eyrei","114.733,-28.617",1999,-28.617,114.733,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","114.883,-28.95",1999,-28.95,114.883,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115,-28.733",1994,-28.733,115,"Limnodynastidae","Heleioporus",2,0,163,49
"Heleioporus eyrei","115.017,-34.017",1999,-34.017,115.017,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.067,-33.617",1999,-33.617,115.067,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.117,-33.983",1991,-33.983,115.117,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.133,-34.3",1999,-34.3,115.133,"Limnodynastidae","Heleioporus",2,0,163,49
"Heleioporus eyrei","115.15,-33.967",1999,-33.967,115.15,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.233,-30.15",1989,-30.15,115.233,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.233,-30.167",1989,-30.167,115.233,"Limnodynastidae","Heleioporus",1,0,163,49
"Heleioporus eyrei","115.317,-30.083",1992,-30.083,115.317,"Limnodynastidae","Heleioporus",3,0,163,49
"Heleioporus eyrei","115.633,-33.383",1999,-33.383,115.633,"Limnodynastidae","Heleioporus",2,0,163,49
